# accuracy: mean (std)
8.202631578947368052e-01;4.220465243288479967e-02
8.210526315789472562e-01;7.139294719079229690e-02
8.225146198830408650e-01;6.168204716704379920e-02
8.611111111111112715e-01;6.211299937499414198e-02
8.401960784313725616e-01;5.482896641483105821e-02
8.176470588235293935e-01;4.117647058823530049e-02
8.235294117647058432e-01;8.417431760308270727e-02
8.062500000000000222e-01;8.125000000000000278e-02
8.345833333333333437e-01;9.630409735139344729e-02
8.400000000000000799e-01;6.798692684790381968e-02
8.280952380952379954e-01;4.474417075247377751e-02
8.357142857142857428e-01;7.178482586514922659e-02
8.527472527472527153e-01;6.537307128675097501e-02
8.692307692307693623e-01;8.461538461538460620e-02
8.173076923076922906e-01;9.179209636256875637e-02
8.499999999999999778e-01;8.975274678557507158e-02
8.431818181818181435e-01;8.723970861078129968e-02
8.363636363636363091e-01;8.907235428302463787e-02
7.727272727272727071e-01;1.251775598404255008e-01
8.000000000000000444e-01;1.612451549659709993e-01
7.688888888888889550e-01;1.384035966135112872e-01
7.444444444444443532e-01;1.990719207463213236e-01
7.805555555555556690e-01;1.637240225365708679e-01
8.499999999999999778e-01;1.224744871391588996e-01
8.160714285714286698e-01;1.699808662701751960e-01
8.428571428571428603e-01;1.186660551845439421e-01
7.714285714285714635e-01;1.832560133799415181e-01
8.499999999999999778e-01;1.572330188676100693e-01
8.366666666666666696e-01;1.741327718214530362e-01
8.599999999999999867e-01;2.009975124224178122e-01
